diagnosis_code,ChronicOrAcute,is_chronic,clinical_category,diagnosis_name,common_name,synonyms,icd11_code,icd11_uri,department,department-ignore,severity,default_follow_up_days,billing_code,status,default_treatment_template,is_reportable,notifiable,is_photo_medicine_eligible
DIAG-0138,Chronic,Yes,Skin,Basal cell carcinoma,Basal cell carcinoma,"Basal cell carcinoma, Basal",,,Oral Oncology,Oncology,Mild,7,BL-00140,Approved,TT-0140,No,No,Yes
DIAG-0139,Chronic,Yes,Skin,Squamous cell carcinoma,Squamous cell carcinoma,"Squamous cell carcinoma, Squamous",,,Oral Oncology,Oncology,Mild,7,BL-00141,Approved,TT-0141,No,No,Yes
DIAG-0140,Chronic,Yes,Skin,Hypertrophic scar,Hypertrophic scar,"Hypertrophic scar, Hypertrophic",,,General Medicine,General Medicine,Mild,7,BL-00142,Approved,TT-0142,No,No,No
DIAG-0141,Chronic,Yes,Skin,Keloid,Keloid,Keloid,,,General Medicine,General Medicine,Mild,7,BL-00143,Approved,TT-0143,No,No,No
DIAG-0142,Chronic,Yes,Allergy,Anaphylaxis,Anaphylaxis,Anaphylaxis,,,General Medicine,General Medicine,Mild,7,BL-00144,Approved,TT-0144,No,No,No
DIAG-0143,Chronic,Yes,Allergy,Food allergy,Food allergy,"Food allergy, Food",,,General Medicine,General Medicine,Mild,7,BL-00145,Approved,TT-0145,No,No,No
DIAG-0144,Chronic,Yes,Allergy,Drug allergy,Drug allergy,"Drug allergy, Drug",,,General Medicine,General Medicine,Mild,7,BL-00146,Approved,TT-0146,No,No,No
DIAG-0145,Chronic,Yes,Allergy,Atopic dermatitis,Atopic dermatitis,"Atopic dermatitis, Atopic",,,General Medicine,Dermatology,Mild,7,BL-00147,Approved,TT-0147,No,No,No
DIAG-0146,Chronic,Yes,Skin,Contact dermatitis,Contact dermatitis,"Contact dermatitis, Contact",,,General Medicine,Dermatology,Mild,7,BL-00148,Approved,TT-0148,No,No,No
DIAG-0147,Chronic,Yes,Medical Disease,Chronic fatigue syndrome,Chronic fatigue syndrome,"Chronic fatigue syndrome, Chronic",,,General Medicine,General Medicine,Moderate,30,BL-00149,Approved,TT-0149,No,No,No
DIAG-0148,Chronic,Yes,Medical Disease,Fibromyalgia,Fibromyalgia,Fibromyalgia,,,General Medicine,General Medicine,Mild,7,BL-00150,Approved,TT-0150,No,No,No
DIAG-0149,Acute,No,Psychiatry,Somatization disorder,Somatization disorder,"Somatization disorder, Somatization",,,General Medicine,General Medicine,Mild,7,BL-00151,Approved,TT-0151,No,No,No
DIAG-0150,Chronic,Yes,Psychiatry,Bipolar disorder,Bipolar disorder,"Bipolar disorder, Bipolar",,,General Medicine,Psychiatry,Mild,7,BL-00152,Approved,TT-0152,No,No,No
DIAG-0151,Chronic,Yes,Psychiatry,Post traumatic stress disorder,Post traumatic stress disorder,"Post traumatic stress disorder, Post",,,General Medicine,General Medicine,Mild,7,BL-00153,Approved,TT-0153,No,No,No
DIAG-0152,Chronic,Yes,Psychiatry,Obsessive compulsive disorder,Obsessive compulsive disorder,"Obsessive compulsive disorder, Obsessive",,,General Medicine,General Medicine,Mild,7,BL-00154,Approved,TT-0154,No,No,No
DIAG-0153,Chronic,Yes,Psychiatry,ADHD,ADHD,ADHD,,,General Medicine,Psychiatry,Mild,7,BL-00155,Approved,TT-0155,No,No,No
DIAG-0154,Chronic,Yes,Psychiatry,Autism spectrum disorder,Autism spectrum disorder,"Autism spectrum disorder, Autism",,,General Medicine,Psychiatry,Mild,7,BL-00156,Approved,TT-0156,No,No,No
DIAG-0155,Chronic,Yes,Psychiatry,Conduct disorder,Conduct disorder,"Conduct disorder, Conduct",,,General Medicine,General Medicine,Mild,7,BL-00157,Approved,TT-0157,No,No,No
DIAG-0156,Chronic,Yes,Psychiatry,Oppositional defiant disorder,Oppositional defiant disorder,"Oppositional defiant disorder, Oppositional",,,General Medicine,General Medicine,Mild,7,BL-00158,Approved,TT-0158,No,No,No
DIAG-0157,Chronic,Yes,Psychiatry,Delirium,Delirium,Delirium,,,General Medicine,General Medicine,Mild,7,BL-00159,Approved,TT-0159,No,No,No
DIAG-0158,Chronic,Yes,Psychiatry,Dementia unspecified,Dementia unspecified,"Dementia unspecified, Dementia",,,General Medicine,Neurology,Mild,30,BL-00160,Approved,TT-0160,No,No,No
DIAG-0159,Chronic,Yes,Neurology,Encephalitis,Encephalitis,Encephalitis,,,General Medicine,Neurology,Mild,7,BL-00161,Approved,TT-0161,No,No,No
DIAG-0160,Chronic,Yes,Neurology,Meningitis,Meningitis,Meningitis,,,General Medicine,Neurology,Mild,7,BL-00162,Approved,TT-0162,No,No,No
DIAG-0161,Chronic,Yes,Neurology,Brain tumor,Brain tumor,"Brain tumor, Brain",,,General Medicine,Neurology,Mild,7,BL-00163,Approved,TT-0163,No,No,No
DIAG-0162,Chronic,Yes,Neurology,Spinal tumor,Spinal tumor,"Spinal tumor, Spinal",,,General Medicine,General Medicine,Mild,7,BL-00164,Approved,TT-0164,No,No,No
DIAG-0163,Chronic,Yes,Neurology,Secondary parkinsonism,Secondary parkinsonism,"Secondary parkinsonism, Secondary",,,General Medicine,Neurology,Mild,7,BL-00165,Approved,TT-0165,No,No,No
DIAG-0164,Chronic,Yes,Neurology,Multiple sclerosis,Multiple sclerosis,"Multiple sclerosis, Multiple",,,General Medicine,General Medicine,Mild,7,BL-00166,Approved,TT-0166,No,No,No
DIAG-0165,Chronic,Yes,Neurology,Guillain-Barre syndrome,Guillain-Barre syndrome,"Guillain-Barre syndrome, Guillain-Barre",,,General Medicine,General Medicine,Mild,7,BL-00167,Approved,TT-0167,No,No,No
DIAG-0166,Chronic,Yes,Neurology,Myasthenia gravis,Myasthenia gravis,"Myasthenia gravis, Myasthenia",,,General Medicine,General Medicine,Mild,7,BL-00168,Approved,TT-0168,No,No,No
DIAG-0167,Chronic,Yes,Neurology,Febrile seizure,Febrile seizure,"Febrile seizure, Febrile",,,General Medicine,Neurology,Mild,7,BL-00169,Approved,TT-0169,No,No,No
DIAG-0168,Chronic,Yes,Neurology,Hydrocephalus,Hydrocephalus,Hydrocephalus,,,General Medicine,General Medicine,Mild,7,BL-00170,Approved,TT-0170,No,No,No
DIAG-0169,Chronic,Yes,Neurology,Cerebral palsy,Cerebral palsy,"Cerebral palsy, Cerebral",,,General Medicine,General Medicine,Mild,7,BL-00171,Approved,TT-0171,No,No,No
DIAG-0170,Chronic,Yes,Neurology,Developmental delay,Developmental delay,"Developmental delay, Developmental",,,General Medicine,General Medicine,Mild,7,BL-00172,Approved,TT-0172,No,No,No
DIAG-0171,Chronic,Yes,Neurology,Down syndrome,Down syndrome,"Down syndrome, Down",,,General Medicine,General Medicine,Mild,7,BL-00173,Approved,TT-0173,No,No,No
DIAG-0172,Chronic,Yes,ENT,Recurrent otitis media,Recurrent otitis media,"Recurrent otitis media, Recurrent",,,General Medicine,ENT,Mild,7,BL-00174,Approved,TT-0174,No,No,No
DIAG-0173,Chronic,Yes,ENT,Hearing loss,Hearing loss,"Hearing loss, Hearing",,,General Medicine,ENT,Mild,7,BL-00175,Approved,TT-0175,No,No,No
DIAG-0174,Chronic,Yes,ENT,Speech delay,Speech delay,"Speech delay, Speech",,,General Medicine,General Medicine,Mild,7,BL-00176,Approved,TT-0176,No,No,No
DIAG-0175,Chronic,Yes,Nutrition,Moderate malnutrition,Moderate malnutrition,"Moderate malnutrition, Moderate",,,General Medicine,General Medicine,Mild,7,BL-00178,Approved,TT-0178,No,No,No
DIAG-0176,Chronic,Yes,Nutrition,Severe malnutrition,Severe malnutrition,"Severe malnutrition, Severe",,,General Medicine,General Medicine,Severe,7,BL-00179,Approved,TT-0179,No,No,No
DIAG-0177,Chronic,Yes,Endocrine/Metabolic,Childhood obesity,Childhood obesity,"Childhood obesity, Childhood",,,General Medicine,Endocrinology,Mild,30,BL-00180,Approved,TT-0180,No,No,No
DIAG-0178,Chronic,Yes,Medical Disease,Hand foot mouth disease,Hand foot mouth disease,"Hand foot mouth disease, Hand",,,General Medicine,Dental,Moderate,7,BL-00181,Approved,TT-0181,No,No,No
DIAG-0179,Chronic,Yes,Medical Disease,Measles,Measles,Measles,,,General Medicine,General Medicine,Mild,7,BL-00182,Approved,TT-0182,Yes,Yes,No
DIAG-0180,Chronic,Yes,Medical Disease,Mumps,Mumps,Mumps,,,General Medicine,General Medicine,Mild,7,BL-00183,Approved,TT-0183,No,No,No
DIAG-0181,Chronic,Yes,Medical Disease,Rubella,Rubella,Rubella,,,General Medicine,General Medicine,Mild,7,BL-00184,Approved,TT-0184,No,No,No
DIAG-0182,Chronic,Yes,Medical Disease,Chickenpox,Chickenpox,Chickenpox,,,General Medicine,General Medicine,Mild,7,BL-00185,Approved,TT-0185,No,No,No
DIAG-0183,Chronic,Yes,Medical Disease,Pertussis,Pertussis,Pertussis,,,General Medicine,General Medicine,Mild,7,BL-00186,Approved,TT-0186,No,No,No
DIAG-0184,Chronic,Yes,Medical Disease,Tetanus,Tetanus,Tetanus,,,General Medicine,General Medicine,Mild,7,BL-00187,Approved,TT-0187,No,No,No
DIAG-0185,Chronic,Yes,Medical Disease,Diphtheria,Diphtheria,Diphtheria,,,General Medicine,General Medicine,Mild,7,BL-00188,Approved,TT-0188,No,No,No
DIAG-0186,Chronic,Yes,Gastrointestinal,Hepatitis A,Hepatitis A,"Hepatitis A, Hepatitis",,,General Medicine,Gastroenterology,Mild,7,BL-00189,Approved,TT-0189,Yes,Yes,No
DIAG-0187,Chronic,Yes,Gastrointestinal,Hepatitis E,Hepatitis E,"Hepatitis E, Hepatitis",,,General Medicine,Gastroenterology,Mild,7,BL-00190,Approved,TT-0190,Yes,Yes,No
DIAG-0188,Chronic,Yes,Immunosuppression,HIV infection,HIV infection,"HIV infection, HIV",,,General Medicine,General Medicine,Mild,30,BL-00191,Approved,TT-0191,Yes,Yes,No
DIAG-0189,Chronic,Yes,Immunosuppression,AIDS,AIDS,AIDS,,,General Medicine,General Medicine,Severe,30,BL-00192,Approved,TT-0192,Yes,Yes,No
DIAG-0190,Chronic,Yes,Genitourinary,Syphilis,Syphilis,Syphilis,,,General Medicine,General Medicine,Mild,7,BL-00193,Approved,TT-0193,No,No,No
DIAG-0191,Chronic,Yes,Genitourinary,Gonorrhea,Gonorrhea,Gonorrhea,,,General Medicine,General Medicine,Mild,7,BL-00194,Approved,TT-0194,No,No,No
DIAG-0192,Chronic,Yes,Genitourinary,Chlamydia infection,Chlamydia infection,"Chlamydia infection, Chlamydia",,,General Medicine,General Medicine,Mild,7,BL-00195,Approved,TT-0195,No,No,No
DIAG-0193,Chronic,Yes,Genitourinary,Trichomoniasis,Trichomoniasis,Trichomoniasis,,,General Medicine,General Medicine,Mild,7,BL-00196,Approved,TT-0196,No,No,No
DIAG-0194,Chronic,Yes,Skin,Scabies,Scabies,Scabies,,,General Medicine,General Medicine,Mild,7,BL-00197,Approved,TT-0197,No,No,No
DIAG-0195,Chronic,Yes,Skin,Pediculosis,Pediculosis,Pediculosis,,,General Medicine,General Medicine,Mild,7,BL-00198,Approved,TT-0198,No,No,No
DIAG-0196,Chronic,Yes,Medical Disease,Extrapulmonary tuberculosis,Extrapulmonary tuberculosis,"Extrapulmonary tuberculosis, Extrapulmonary",,,General Medicine,General Medicine,Mild,7,BL-00199,Approved,TT-0199,Yes,Yes,No
DIAG-0197,Chronic,Yes,Respiratory,Bronchiectasis,Bronchiectasis,Bronchiectasis,,,General Medicine,Respiratory,Mild,7,BL-00200,Approved,TT-0200,No,No,No
DIAG-0198,Chronic,Yes,Immunosuppression,Sarcoidosis,Sarcoidosis,Sarcoidosis,,,General Medicine,General Medicine,Mild,7,BL-00201,Approved,TT-0201,No,No,No
DIAG-0199,Chronic,Yes,Immunosuppression,Autoimmune hepatitis,Autoimmune hepatitis,"Autoimmune hepatitis, Autoimmune",,,General Medicine,Gastroenterology,Mild,7,BL-00202,Approved,TT-0202,Yes,Yes,No
DIAG-0200,Chronic,Yes,Immunosuppression,Systemic lupus erythematosus,Systemic lupus erythematosus,"Systemic lupus erythematosus, Systemic",,,General Medicine,General Medicine,Mild,7,BL-00203,Approved,TT-0203,No,No,No
DIAG-0201,Chronic,Yes,Skin,Scleroderma,Scleroderma,Scleroderma,,,General Medicine,General Medicine,Mild,7,BL-00204,Approved,TT-0204,No,No,No
DIAG-0202,Chronic,Yes,Skin,Sjogren syndrome,Sjogren syndrome,"Sjogren syndrome, Sjogren",,,General Medicine,General Medicine,Mild,7,BL-00205,Approved,TT-0205,No,No,No
DIAG-0203,Chronic,Yes,Skin,Vasculitis,Vasculitis,Vasculitis,,,General Medicine,General Medicine,Mild,7,BL-00206,Approved,TT-0206,No,No,No
DIAG-0204,Chronic,Yes,Orthopedics,Ankylosing spondylitis,Ankylosing spondylitis,"Ankylosing spondylitis, Ankylosing",,,General Medicine,General Medicine,Mild,7,BL-00207,Approved,TT-0207,No,No,No
DIAG-0205,Chronic,Yes,Orthopedics,Psoriatic arthritis,Psoriatic arthritis,"Psoriatic arthritis, Psoriatic",,,General Medicine,General Medicine,Moderate,30,BL-00208,Approved,TT-0208,No,No,No
DIAG-0206,Chronic,Yes,Orthopedics,Reactive arthritis,Reactive arthritis,"Reactive arthritis, Reactive",,,General Medicine,General Medicine,Moderate,30,BL-00209,Approved,TT-0209,No,No,No
DIAG-0207,Chronic,Yes,Endocrine/Metabolic,Osteoporosis,Osteoporosis,Osteoporosis,,,General Medicine,General Medicine,Moderate,7,BL-00210,Approved,TT-0210,No,No,No
DIAG-0208,Acute,No,Trauma/Orthopaedics,Fracture wrist,Fracture wrist,"Fracture wrist, Fracture",,,General Medicine,Orthopaedics,Mild,7,BL-00211,Approved,TT-0211,No,No,No
DIAG-0209,Acute,No,Trauma/Orthopaedics,Fracture ankle,Fracture ankle,"Fracture ankle, Fracture",,,General Medicine,Orthopaedics,Mild,7,BL-00212,Approved,TT-0212,No,No,No
DIAG-0210,Acute,No,Trauma/Orthopaedics,Fracture clavicle,Fracture clavicle,"Fracture clavicle, Fracture",,,General Medicine,Orthopaedics,Mild,7,BL-00213,Approved,TT-0213,No,No,No
DIAG-0211,Acute,No,Trauma/Orthopaedics,Fracture rib,Fracture rib,"Fracture rib, Fracture",,,General Medicine,Orthopaedics,Mild,7,BL-00214,Approved,TT-0214,No,No,No
DIAG-0212,Acute,No,Trauma/Orthopaedics,Fracture pelvis,Fracture pelvis,"Fracture pelvis, Fracture",,,General Medicine,Orthopaedics,Mild,7,BL-00215,Approved,TT-0215,No,No,No
DIAG-0213,Acute,No,General Medicine,Superficial burn,Superficial burn,"Superficial burn, Superficial",,,General Medicine,General Medicine,Mild,7,BL-00216,Approved,TT-0216,No,No,No
DIAG-0214,Acute,No,Skin,Partial thickness burn,Partial thickness burn,"Partial thickness burn, Partial",,,General Medicine,General Medicine,Mild,7,BL-00217,Approved,TT-0217,No,No,No
DIAG-0215,Acute,No,Skin,Full thickness burn,Full thickness burn,"Full thickness burn, Full",,,General Medicine,General Medicine,Mild,7,BL-00218,Approved,TT-0218,No,No,No
DIAG-0216,Acute,No,Neurology,Heat stroke,Heat stroke,"Heat stroke, Heat",,,General Medicine,Neurology,Severe,7,BL-00219,Approved,TT-0219,No,No,No
DIAG-0217,Acute,No,Medical Disease,Hypothermia,Hypothermia,Hypothermia,,,General Medicine,General Medicine,Mild,7,BL-00220,Approved,TT-0220,No,No,No
DIAG-0218,Acute,No,Medical Disease,Dehydration,Dehydration,Dehydration,,,General Medicine,General Medicine,Mild,7,BL-00221,Approved,TT-0221,No,No,No
DIAG-0219,Acute,No,Medical Disease,Snake bite,Snake bite,"Snake bite, Snake",,,General Medicine,General Medicine,Mild,7,BL-00222,Approved,TT-0222,No,No,No
DIAG-0220,Chronic,Yes,Medical Disease,Dog bite,Dog bite,"Dog bite, Dog",,,General Medicine,General Medicine,Mild,7,BL-00223,Approved,TT-0223,No,No,No
DIAG-0221,Chronic,Yes,Medical Disease,Rabies exposure,Rabies exposure,"Rabies exposure, Rabies",,,General Medicine,General Medicine,Mild,7,BL-00224,Approved,TT-0224,No,No,No
DIAG-0222,Chronic,Yes,Occupational,Pesticide poisoning,Pesticide poisoning,"Pesticide poisoning, Pesticide",,,General Medicine,General Medicine,Mild,7,BL-00225,Approved,TT-0225,No,No,No
DIAG-0223,Chronic,Yes,General Medicine,Drug overdose,Drug overdose,"Drug overdose, Drug",,,General Medicine,General Medicine,Mild,7,BL-00227,Approved,TT-0227,No,No,No
DIAG-0224,Chronic,Yes,General Medicine,Lead poisoning,Lead poisoning,"Lead poisoning, Lead",,,General Medicine,General Medicine,Mild,7,BL-00228,Approved,TT-0228,No,No,No
DIAG-0225,Acute,No,Cardiovascular,Acute coronary syndrome,Acute coronary syndrome,"Acute coronary syndrome, Acute",,,General Medicine,General Medicine,Severe,7,BL-00229,Approved,TT-0229,No,No,No
DIAG-0226,Chronic,Yes,Cardiovascular,Stable angina,Stable angina,"Stable angina, Stable",,,General Medicine,Cardiology,Mild,7,BL-00230,Approved,TT-0230,No,No,No
DIAG-0227,Chronic,Yes,Cardiovascular,Atrial fibrillation,Atrial fibrillation,"Atrial fibrillation, Atrial",,,General Medicine,Cardiology,Mild,7,BL-00231,Approved,TT-0231,No,No,No
DIAG-0228,Chronic,Yes,Cardiovascular,Supraventricular tachycardia,Supraventricular tachycardia,"Supraventricular tachycardia, Supraventricular",,,General Medicine,Cardiology,Mild,7,BL-00232,Approved,TT-0232,No,No,No
DIAG-0229,Chronic,Yes,Cardiovascular,Ventricular tachycardia,Ventricular tachycardia,"Ventricular tachycardia, Ventricular",,,General Medicine,Cardiology,Mild,7,BL-00233,Approved,TT-0233,No,No,No
DIAG-0230,Chronic,Yes,Genitourinary,End-stage renal disease,End-stage renal disease,"End-stage renal disease, End-stage",,,General Medicine,Nephrology/Urology,Moderate,7,BL-00234,Approved,TT-0234,No,No,No
DIAG-0231,Acute,No,Gastrointestinal,Peritonitis,Peritonitis,Peritonitis,,,General Medicine,General Medicine,Mild,7,BL-00235,Approved,TT-0235,No,No,No
DIAG-0232,Acute,No,Gastrointestinal,Acute pancreatitis,Acute pancreatitis,"Acute pancreatitis, Acute",,,General Medicine,Gastroenterology,Severe,7,BL-00236,Approved,TT-0236,No,No,No
DIAG-0233,Chronic,Yes,Gastrointestinal,Chronic pancreatitis,Chronic pancreatitis,"Chronic pancreatitis, Chronic",,,General Medicine,Gastroenterology,Moderate,30,BL-00237,Approved,TT-0237,No,No,No
DIAG-0234,Acute,No,Gastrointestinal,Peptic ulcer perforation,Peptic ulcer perforation,"Peptic ulcer perforation, Peptic",,,General Medicine,General Medicine,Severe,7,BL-00238,Approved,TT-0238,No,No,No
DIAG-0235,Acute,No,Gastrointestinal,Small bowel obstruction,Small bowel obstruction,"Small bowel obstruction, Small",,,General Medicine,General Medicine,Mild,7,BL-00239,Approved,TT-0239,No,No,No
DIAG-0236,Acute,No,Gastrointestinal,Large bowel obstruction,Large bowel obstruction,"Large bowel obstruction, Large",,,General Medicine,General Medicine,Mild,7,BL-00240,Approved,TT-0240,No,No,No
DIAG-0237,Acute,No,Gastrointestinal,Diverticulitis,Diverticulitis,Diverticulitis,,,General Medicine,General Medicine,Mild,7,BL-00241,Approved,TT-0241,No,No,No
DIAG-0238,Chronic,Yes,Haematology,Hemolytic anemia,Hemolytic anemia,"Hemolytic anemia, Hemolytic",,,General Medicine,General Medicine,Mild,7,BL-00242,Approved,TT-0242,No,No,No
DIAG-0239,Chronic,Yes,Haematology,Aplastic anemia,Aplastic anemia,"Aplastic anemia, Aplastic",,,General Medicine,General Medicine,Mild,7,BL-00243,Approved,TT-0243,No,No,No
DIAG-0240,Chronic,Yes,Haematology,Polycythemia vera,Polycythemia vera,"Polycythemia vera, Polycythemia",,,General Medicine,General Medicine,Mild,7,BL-00244,Approved,TT-0244,No,No,No
DIAG-0241,Chronic,Yes,Haematology,Essential thrombocythemia,Essential thrombocythemia,"Essential thrombocythemia, Essential",,,General Medicine,General Medicine,Mild,7,BL-00245,Approved,TT-0245,No,No,No
DIAG-0242,Acute,No,Orthopedics,Septic arthritis,Septic arthritis,"Septic arthritis, Septic",,,General Medicine,General Medicine,Moderate,30,BL-00246,Approved,TT-0246,No,No,No
DIAG-0243,Acute,No,Orthopedics,Osteomyelitis,Osteomyelitis,Osteomyelitis,,,General Medicine,General Medicine,Mild,7,BL-00247,Approved,TT-0247,No,No,No
DIAG-0244,Chronic,Yes,Orthopedics,Meniscal tear,Meniscal tear,"Meniscal tear, Meniscal",,,General Medicine,ENT,Mild,7,BL-00248,Approved,TT-0248,No,No,No
DIAG-0245,Chronic,Yes,Orthopedics,ACL tear,ACL tear,"ACL tear, ACL",,,General Medicine,ENT,Mild,7,BL-00249,Approved,TT-0249,No,No,No
DIAG-0246,Chronic,Yes,Orthopedics,Rotator cuff tendinopathy,Rotator cuff tendinopathy,"Rotator cuff tendinopathy, Rotator",,,General Medicine,General Medicine,Mild,7,BL-00250,Approved,TT-0250,No,No,No
DIAG-0247,Acute,No,Orthopedics,Bursitis,Bursitis,Bursitis,,,General Medicine,General Medicine,Mild,7,BL-00251,Approved,TT-0251,No,No,No
DIAG-0248,Acute,No,Orthopedics,Adhesive capsulitis,Adhesive capsulitis,"Adhesive capsulitis, Adhesive",,,General Medicine,General Medicine,Mild,7,BL-00252,Approved,TT-0252,No,No,No
DIAG-0249,Chronic,Yes,Orthopedics,Carpal tunnel syndrome severe,Carpal tunnel syndrome severe,"Carpal tunnel syndrome severe, Carpal",,,General Medicine,General Medicine,Severe,7,BL-00253,Approved,TT-0253,No,No,No
DIAG-0250,Chronic,Yes,Neurology,Complex regional pain syndrome,Complex regional pain syndrome,"Complex regional pain syndrome, Complex",,,General Medicine,General Medicine,Mild,7,BL-00254,Approved,TT-0254,No,No,No
DIAG-0251,Acute,No,Medical Disease,Rheumatic fever,Rheumatic fever,"Rheumatic fever, Rheumatic",,,General Medicine,General Medicine,Mild,7,BL-00255,Approved,TT-0255,No,No,No
DIAG-0252,Chronic,Yes,Medical Disease,Kawasaki disease,Kawasaki disease,"Kawasaki disease, Kawasaki",,,General Medicine,General Medicine,Moderate,7,BL-00256,Approved,TT-0256,No,No,No
DIAG-0253,Acute,No,Neurology,Migraine with aura,Migraine with aura,"Migraine with aura, Migraine",,,General Medicine,Neurology,Mild,7,BL-00257,Approved,TT-0257,No,No,No
DIAG-0254,Acute,No,Neurology,Cluster headache chronic,Cluster headache chronic,"Cluster headache chronic, Cluster",,,General Medicine,General Medicine,Moderate,30,BL-00258,Approved,TT-0258,No,No,No
DIAG-0255,Acute,No,Neurology,Idiopathic intracranial hypertension,Idiopathic intracranial hypertension,"Idiopathic intracranial hypertension, Idiopathic",,,General Medicine,Cardiology,Moderate,30,BL-00259,Approved,TT-0259,No,No,No
DIAG-0256,Acute,No,Cardiovascular,Transient ischemic attack,Transient ischemic attack,"Transient ischemic attack, Transient",,,General Medicine,General Medicine,Mild,7,BL-00260,Approved,TT-0260,No,No,No
DIAG-0257,Acute,No,Neurology,Subarachnoid hemorrhage,Subarachnoid hemorrhage,"Subarachnoid hemorrhage, Subarachnoid",,,General Medicine,General Medicine,Severe,7,BL-00261,Approved,TT-0261,No,No,No
DIAG-0258,Acute,No,Neurology,Intracerebral hemorrhage,Intracerebral hemorrhage,"Intracerebral hemorrhage, Intracerebral",,,General Medicine,General Medicine,Severe,7,BL-00262,Approved,TT-0262,No,No,No
DIAG-0259,Chronic,Yes,Neurology,Brain abscess,Brain abscess,"Brain abscess, Brain",,,General Medicine,Neurology,Mild,7,BL-00263,Approved,TT-0263,No,No,No
DIAG-0260,Chronic,Yes,Neurology,Spinal cord injury,Spinal cord injury,"Spinal cord injury, Spinal",,,General Medicine,General Medicine,Mild,7,BL-00264,Approved,TT-0264,No,No,No
DIAG-0261,Chronic,Yes,Neurology,Cauda equina syndrome,Cauda equina syndrome,"Cauda equina syndrome, Cauda",,,General Medicine,General Medicine,Mild,7,BL-00265,Approved,TT-0265,No,No,No
DIAG-0262,Chronic,Yes,Neurology,Peripheral artery disease critical limb ischemia,Peripheral artery disease critical limb ischemia,"Peripheral artery disease critical limb ischemia, Peripheral",,,General Medicine,General Medicine,Moderate,7,BL-00266,Approved,TT-0266,No,No,No
DIAG-0263,Chronic,Yes,Genitourinary,Varicocele,Varicocele,Varicocele,,,General Medicine,General Medicine,Mild,7,BL-00267,Approved,TT-0267,No,No,No
DIAG-0264,Chronic,Yes,Genitourinary,Hydrocele,Hydrocele,Hydrocele,,,General Medicine,General Medicine,Mild,7,BL-00268,Approved,TT-0268,No,No,No
DIAG-0265,Acute,No,Genitourinary,Testicular torsion,Testicular torsion,"Testicular torsion, Testicular",,,General Medicine,General Medicine,Mild,7,BL-00269,Approved,TT-0269,No,No,No
DIAG-0266,Chronic,Yes,Cancer,Prostate cancer,Prostate cancer,"Prostate cancer, Prostate",,,Oral Oncology,Oncology,Severe,7,BL-00270,Approved,TT-0270,No,No,Yes
DIAG-0267,Chronic,Yes,Cancer,Bladder cancer,Bladder cancer,"Bladder cancer, Bladder",,,Oral Oncology,Oncology,Severe,7,BL-00271,Approved,TT-0271,No,No,Yes
DIAG-0268,Chronic,Yes,Cancer,Renal cell carcinoma,Renal cell carcinoma,"Renal cell carcinoma, Renal",,,Oral Oncology,Oncology,Mild,7,BL-00272,Approved,TT-0272,No,No,Yes
DIAG-0269,Chronic,Yes,Cancer,Cervical cancer,Cervical cancer,"Cervical cancer, Cervical",,,Oral Oncology,Oncology,Severe,7,BL-00273,Approved,TT-0273,No,No,Yes
DIAG-0270,Chronic,Yes,Cancer,Endometrial cancer,Endometrial cancer,"Endometrial cancer, Endometrial",,,Oral Oncology,Oncology,Severe,7,BL-00274,Approved,TT-0274,No,No,Yes
DIAG-0271,Chronic,Yes,Cancer,Ovarian cancer,Ovarian cancer,"Ovarian cancer, Ovarian",,,Oral Oncology,Oncology,Severe,7,BL-00275,Approved,TT-0275,No,No,Yes
DIAG-0272,Chronic,Yes,Obstetrics/Gynaecology,Uterine prolapse,Uterine prolapse,"Uterine prolapse, Uterine",,,General Medicine,Gynaecology,Mild,7,BL-00276,Approved,TT-0276,No,No,No
DIAG-0273,Chronic,Yes,Obstetrics/Gynaecology,Ectopic pregnancy,Ectopic pregnancy,"Ectopic pregnancy, Ectopic",,,General Medicine,Gynaecology,Mild,7,BL-00277,Approved,TT-0277,No,No,No
DIAG-0274,Acute,No,Obstetrics/Gynaecology,Placental abruption,Placental abruption,"Placental abruption, Placental",,,General Medicine,General Medicine,Mild,7,BL-00278,Approved,TT-0278,No,No,No
DIAG-0275,Acute,No,Obstetrics/Gynaecology,Postpartum hemorrhage,Postpartum hemorrhage,"Postpartum hemorrhage, Postpartum",,,General Medicine,General Medicine,Severe,7,BL-00279,Approved,TT-0279,No,No,No
DIAG-0276,Acute,No,Obstetrics/Gynaecology,Postpartum infection,Postpartum infection,"Postpartum infection, Postpartum",,,General Medicine,General Medicine,Mild,7,BL-00280,Approved,TT-0280,No,No,No
DIAG-0277,Chronic,Yes,Breast,Breast mastitis,Breast mastitis,"Breast mastitis, Breast",,,General Medicine,Gynaecology,Mild,7,BL-00281,Approved,TT-0281,No,No,No
DIAG-0278,Chronic,Yes,Breast,Breast abscess,Breast abscess,"Breast abscess, Breast",,,General Medicine,Gynaecology,Mild,7,BL-00282,Approved,TT-0282,No,No,No
DIAG-0279,Chronic,Yes,Cancer,Gynecologic malignancy metastatic,Gynecologic malignancy metastatic,"Gynecologic malignancy metastatic, Gynecologic",,,General Medicine,General Medicine,Mild,7,BL-00283,Approved,TT-0283,No,No,No
